,Traits,Is Categorize Trait,,,,
0,user_id,N,,,N,numeric trait
1,date_of_birth,N,,,Y,"categorize trait, binary "
2,chrom_sex,N,,,C,"categorize trait, not binary "
3,"Intolerance: gluten, casein, soy",Y,,,O,"categorize trait, but only one group"
4,Artistic Talent,Y,,,Y-G,"categorize trait, the number of one of groups is too small"
5,brown hair colour blue eyes,C,,,U,all the value is unknown
6,Diagnosed with Sleep Apnea?,Y,,,,
7,Clotting disorder,Y,,,,
8,A+,C,,,,
9,Do you like the taste of bananas?,Y,,,,
10,Female with Ring Finger longer than Index Finger,Y,,,,
11,Hair and eye color Brown,C,,,,
12,Boldness type,Y,,,,
13,Toe Thumbs,O,,,,
14,At what altitude you live or have lived most of their lives?,N,,,,
15,Dyscalculia,Y,,,,
16,IQ,N,,,,
17,Insect bites and stings,C,,,,
18,Urticaria,C,,,,
19,Impacted Canines,Y,,,,
20,Nationality,C,,,,
21,Keratoconus Disease,Y,,,,
22,Seborrhoeic Dermatitis,Y,,,,
23,Hypomagnesemia,Y,,,,
24,Can You Spread Your Toes? ,Y,,,,
25,mthfr,C,,,,
26,Beard Color,C,,,,
27,Birth year,N,,,,
28,eye colour,C,,,,
29,Red Hair,Y,,,,
30,rolled tongue,Y,,,,
31,Female Pattern Baldnes,C,,,,
32,Melasma,C,,,,
33,Bicuspid aortic valve,C,,,,
34,Mirror Touch Synesthesia,Y,,,,
35,Blood Type,C,,,,
36,Enneagram Personality Type,C,,,,
37,Easiness to navigate/orientate,C,,,,
38,prognathism,Y,,,,
39,Body shape,C,,,,
40,Ability to Tan,C,,,,
41,autism,C,,,,
42,Jogger,Y,,,,
43,Skin dry,Y,,,,
44,(Male) Nipple's size,C,,,,
45,I dance....,C,,,,
46,Sexual Preferences,C,,,,
47,Broad face,Y,,,,
48,Interests-General,C,,,,
49,Haemophilia/Hemophilia,Y,,,,
50,Do You Suffer From Agoraphobia?,Y,,,,
51,Thyroid Issues/Cancer,C,,,,
52,Do you grind your teeth,Y,,,,
53,Response to Enbrel,U,,,,
54,glass eye,C,,,,
55,Pressure Sensitivity of the Ear,C,,,,
56,Mental Disease,C,,,,
57,ENTP,C,,,,
58,Laterality,C,,,,
59,Keloid,Y,,,,
60,"Blood Type A1, Rh positive",C,,,,
61,brunette,C,,,,
62,Sleep Disorders,C,,,,
63,Kell Blood Group (K/k antigens)  ,C,,,,
64,Reading habits,C,,,,
65,Penis Length,N,,,,
66,"White skin, black straight  hair, B+",C,,,,
67,Daily Sleep Duration (hours),N,,,,
68,Large tonsil crypts and tonsil stones,Y,,,,
69,black skin,Y,,,,
70,One Warrior Gene/One Non-Warrior Gene ,O,,,,
71,MBTI (Myers Briggs) Type,C,,,,
72,Lisp,Y,,,,
73,AB +,C,,,,
74,Allergy to artificial grape flavoring,Y,,,,
75,Lipoma,Y,,,,
76,syndactyly,Y,,,,
77,Weight,N,,,,
78,Income Range?,N,,,,
79,Cleverness,C,,,,
80,Ear - darwin's tubercle,Y,,,,
81,Earlobe:  Free or attached,Y,,,,
82,Brachydactyly,Y-G,,,,
83,Favorite Color/Colour,C,,,,
84,Penis Circumference at Glans,N,,,,
85,ABH Blood Group (antigens) ,C,,,,
86,SAT Writing,N,,,,
87,Anxiety,O,,,,
88,Metabolic Syndrome [MetS],Y-G,,,,
89,Farnsworth Munsell 100 Hue Test,N,,,,
90,Little fingers(pinkies),C,,,,
91,congenital talipes equinovarus (CTEV),Y,,,,
92,Reaction to poison ivy,O,,,,
93,double jointed thumbs,Y,,,,
94,ABO Rh,C,,,,
95,R1b1a2a1a1b,U,,,,
96,Ectopia Lentis,O,,,,
97,white skin,C,,,,
